131,673,234,103,18,673,673,673,673,673,673,673,673,673,673
201,96,342,965,150,96,96,96,96,96,96,96,96,96,96
630,803,746,422,11,803,803,803,803,803,803,803,803,803,8031
537,699,497,121,95,699,699,699,699,699,699,699,699,699,6996
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
805,732,524,37,331,732,732,732,732,732,732,732,732,732,732
